Real,Imaginary
-6.01175,0.61420
-6.01181,0.61575
-6.01187,0.61730
-6.01193,0.61885
-6.01199,0.62040
-6.01205,0.62195
-6.01211,0.62350
-6.01217,0.62505
-6.01223,0.62660
-6.01229,0.62816
-6.01235,0.62971
-6.01241,0.63126
-6.01247,0.63281
-6.01253,0.63436
-6.01259,0.63591
-6.01265,0.63746
-6.01271,0.63901
-6.01278,0.64056
-6.01284,0.64212
-6.01290,0.64367
-6.01296,0.64522
-6.01302,0.64677
-6.01309,0.64832
-6.01315,0.64988
-6.01321,0.65143
-6.01327,0.65298
-6.01334,0.65453
-6.01340,0.65608
-6.01346,0.65764
-6.01353,0.65919
-6.01359,0.66074
-6.01365,0.66230
-6.01372,0.66385
-6.01378,0.66540
-6.01385,0.66695
-6.01391,0.66851
-6.01397,0.67006
-6.01404,0.67161
-6.01410,0.67317
-6.01417,0.67472
-6.01423,0.67627
-6.01430,0.67783
-6.01436,0.67938
-6.01443,0.68093
-6.01450,0.68249
-6.01456,0.68404
-6.01463,0.68560
-6.01469,0.68715
-6.01476,0.68870
-6.01483,0.69026
-6.01489,0.69181
-6.01496,0.69337
-6.01503,0.69492
-6.01509,0.69648
-6.01516,0.69803
-6.01523,0.69959
-6.01530,0.70114
-6.01536,0.70270
-6.01543,0.70425
-6.01550,0.70581
-6.01557,0.70736
-6.01563,0.70892
-6.01570,0.71047
-6.01577,0.71203
-6.01584,0.71359
-6.01591,0.71514
-6.01598,0.71670
-6.01605,0.71825
-6.01612,0.71981
-6.01619,0.72137
-6.01626,0.72292
-6.01633,0.72448
-6.01640,0.72603
-6.01647,0.72759
-6.01654,0.72915
-6.01661,0.73070
-6.01668,0.73226
-6.01675,0.73382
-6.01682,0.73538
-6.01689,0.73693
-6.01696,0.73849
-6.01703,0.74005
-6.01710,0.74160
-6.01717,0.74316
-6.01725,0.74472
-6.01732,0.74628
-6.01739,0.74784
-6.01746,0.74939
-6.01753,0.75095
-6.01761,0.75251
-6.01768,0.75407
-6.01775,0.75563
-6.01783,0.75718
-6.01790,0.75874
-6.01797,0.76030
-6.01804,0.76186
-6.01812,0.76342
-6.01819,0.76498
-6.01827,0.76654
-6.01834,0.76810
-6.01841,0.76966
-6.01849,0.77122
-6.01856,0.77277
-6.01864,0.77433
-6.01871,0.77589
-6.01879,0.77745
-6.01886,0.77901
-6.01894,0.78057
-6.01901,0.78213
-6.01909,0.78369
-6.01916,0.78525
-6.01924,0.78681
-6.01932,0.78838
-6.01939,0.78994
-6.01947,0.79150
-6.01954,0.79306
-6.01962,0.79462
-6.01970,0.79618
-6.01977,0.79774
-6.01985,0.79930
-6.01993,0.80086
-6.02001,0.80242
-6.02008,0.80399
-6.02016,0.80555
-6.02024,0.80711
-6.02032,0.80867
-6.02040,0.81023
-6.02047,0.81180
-6.02055,0.81336
-6.02063,0.81492
-6.02071,0.81648
-6.02079,0.81805
-6.02087,0.81961
-6.02095,0.82117
-6.02103,0.82273
-6.02111,0.82430
-6.02118,0.82586
-6.02126,0.82742
-6.02134,0.82899
-6.02142,0.83055
-6.02150,0.83211
-6.02159,0.83368
-6.02167,0.83524
-6.02175,0.83680
-6.02183,0.83837
-6.02191,0.83993
-6.02199,0.84150
-6.02207,0.84306
-6.02215,0.84463
-6.02223,0.84619
-6.02232,0.84775
-6.02240,0.84932
-6.02248,0.85088
-6.02256,0.85245
-6.02264,0.85401
-6.02273,0.85558
-6.02281,0.85715
-6.02289,0.85871
-6.02298,0.86028
-6.02306,0.86184
-6.02314,0.86341
-6.02323,0.86497
-6.02331,0.86654
-6.02339,0.86811
-6.02348,0.86967
-6.02356,0.87124
-6.02365,0.87281
-6.02373,0.87437
-6.02381,0.87594
-6.02390,0.87751
-6.02398,0.87907
-6.02407,0.88064
-6.02415,0.88221
-6.02424,0.88377
-6.02432,0.88534
-6.02441,0.88691
-6.02450,0.88848
-6.02458,0.89004
-6.02467,0.89161
-6.02475,0.89318
-6.02484,0.89475
-6.02493,0.89632
-6.02501,0.89789
-6.02510,0.89945
-6.02519,0.90102
-6.02527,0.90259
-6.02536,0.90416
-6.02545,0.90573
-6.02554,0.90730
-6.02562,0.90887
-6.02571,0.91044
-6.02580,0.91201
-6.02589,0.91358
-6.02598,0.91515
-6.02607,0.91672
-6.02615,0.91829
-6.02624,0.91986
-6.02633,0.92143
-6.02642,0.92300
-6.02651,0.92457
-6.02660,0.92614
-6.02669,0.92771
-6.02678,0.92928
-6.02687,0.93085
-6.02696,0.93242
-6.02705,0.93399
-6.02714,0.93556
-6.02723,0.93713
-6.02732,0.93871
-6.02741,0.94028
-6.02750,0.94185
-6.02759,0.94342
-6.02769,0.94499
-6.02778,0.94657
-6.02787,0.94814
-6.02796,0.94971
-6.02805,0.95128
-6.02815,0.95286
-6.02824,0.95443
-6.02833,0.95600
-6.02842,0.95758
-6.02852,0.95915
-6.02861,0.96072
-6.02870,0.96230
-6.02879,0.96387
-6.02889,0.96544
-6.02898,0.96702
-6.02907,0.96859
-6.02917,0.97017
-6.02926,0.97174
-6.02936,0.97331
-6.02945,0.97489
-6.02955,0.97646
-6.02964,0.97804
-6.02973,0.97961
-6.02983,0.98119
-6.02992,0.98276
-6.03002,0.98434
-6.03012,0.98591
-6.03021,0.98749
-6.03031,0.98907
-6.03040,0.99064
-6.03050,0.99222
-6.03059,0.99379
-6.03069,0.99537
-6.03079,0.99695
-6.03088,0.99852
-6.03098,1.00010
-6.03108,1.00168
-6.03117,1.00325
-6.03127,1.00483
-6.03137,1.00641
-6.03147,1.00798
-6.03156,1.00956
-6.03166,1.01114
-6.03176,1.01272
-6.03186,1.01430
-6.03196,1.01587
-6.03205,1.01745
-6.03215,1.01903
-6.03225,1.02061
-6.03235,1.02219
-6.03245,1.02377
-6.03255,1.02534
-6.03265,1.02692
-6.03275,1.02850
-6.03285,1.03008
-6.03295,1.03166
-6.03305,1.03324
-6.03315,1.03482
-6.03325,1.03640
-6.03335,1.03798
-6.03345,1.03956
-6.03355,1.04114
-6.03365,1.04272
-6.03375,1.04430
-6.03385,1.04588
-6.03396,1.04746
-6.03406,1.04904
-6.03416,1.05062
-6.03426,1.05221
-6.03436,1.05379
-6.03446,1.05537
-6.03457,1.05695
-6.03467,1.05853
-6.03477,1.06011
-6.03488,1.06170
-6.03498,1.06328
-6.03508,1.06486
-6.03518,1.06644
-6.03529,1.06803
-6.03539,1.06961
-6.03550,1.07119
-6.03560,1.07277
-6.03570,1.07436
-6.03581,1.07594
-6.03591,1.07752
-6.03602,1.07911
