Polynomial degree, Time
152, 0.001000
153, -0.000000
154, 0.001000
155, 0.001000
156, -0.000000
157, 0.001000
158, 0.001000
159, 0.000000
160, 0.001000
161, 0.000000
162, 0.001000
163, 0.001000
164, 0.000000
165, 0.001000
166, 0.000000
167, 0.001000
168, -0.000000
169, 0.001000
170, -0.000000
171, 0.001000
172, 0.001000
173, -0.000000
174, 0.001000
175, 0.001000
176, 0.001000
177, 0.000000
178, 0.001000
179, 0.001000
180, 0.000000
181, 0.001000
182, 0.001000
183, -0.000000
184, 0.001000
185, -0.000000
186, 0.001000
187, 0.001000
188, -0.000000
189, 0.001000
190, 0.001000
191, 0.000000
192, 0.001000
193, 0.001000
194, -0.000000
195, 0.001000
196, 0.000000
197, 0.001000
198, 0.001000
199, -0.000000
200, 0.001000
201, 0.001000
202, 0.000000
203, 0.001000
204, 0.001000
205, -0.000000
206, 0.001000
207, 0.001000
208, -0.000000
209, 0.001000
210, -0.000000
211, 0.001000
212, 0.001000
213, 0.000000
214, 0.001000
215, 0.001000
216, 0.001000
217, 0.000000
218, 0.001000
219, 0.001000
220, -0.000000
221, 0.001000
222, 0.000000
223, 0.001000
224, 0.001000
225, -0.000000
226, 0.001000
227, 0.001000
228, 0.001000
229, -0.000000
230, 0.001000
231, 0.000000
232, 0.001000
233, 0.001000
234, -0.000000
235, 0.001000
236, 0.000000
237, 0.001000
238, 0.001000
239, 0.001000
240, -0.000000
241, 0.001000
242, 0.001000
243, -0.000000
244, 0.001000
245, -0.000000
246, 0.001000
247, 0.001000
248, 0.000000
249, 0.001000
250, 0.001000
251, 0.000000
252, 0.001000
253, 0.001000
254, -0.000000
255, 0.001000
256, 0.001000
257, 0.000000
258, 0.001000
259, 0.001000
260, 0.001000
261, 0.000000
262, 0.001000
263, 0.001000
264, 0.001000
265, 0.000000
266, 0.001000
267, 0.001000
268, -0.000000
269, 0.001000
270, 0.001000
271, 0.001000
272, -0.000000
273, 0.001000
274, 0.001000
275, 0.001000
276, -0.000000
277, -0.000000
278, 0.001000
279, 0.001000
280, 0.000000
281, 0.001000
282, 0.001000
283, 0.000000
284, 0.001000
285, 0.001000
286, 0.001000
287, -0.000000
288, 0.001000
289, 0.001000
290, 0.001000
291, -0.000000
292, 0.001000
293, 0.001000
294, 0.000000
295, 0.001000
296, 0.001000
297, 0.001000
298, 0.000000
299, 0.001000
